"V1" "V2" "V3" "V4" "V5" "V6"
0.907222000649199 0.909492037026212 0.784037730423734 0.132960334187374 0.713269716827199 0.297789697535336
0.55341857788153 0.897996332962066 0.517952995374799 0.943108749343082 0.629971259506419 0.86661126697436
0.93610776332207 0.00170628703199327 0.48904987401329 0.622837570728734 0.818170813377947 0.87949217390269
0.994970839470625 0.11237177439034 0.0559049609582871 0.315075878752396 0.993743581464514 0.318280859850347
0.17794356867671 0.441035010153428 0.178940388374031 0.956740227062255 0.0200776134151965 0.665746215730906
0.956611633999273 0.995287759229541 0.232870614388958 0.94430751632899 0.0179898450151086 0.969815354095772
0.909227785188705 0.703721167286858 0.132345133693889 0.0398665121756494 0.293997949920595 0.185006407788023
0.392458961578086 0.24701262707822 0.11176274670288 0.972801237832755 0.923950835363939 0.983240005094558
0.941805019509047 0.414521565195173 0.895559729076922 0.910299257608131 0.865911118686199 0.328276391606778
0.359483079751953 0.869422132847831 0.906442791223526 0.163136641960591 0.0689663272351027 0.204085312550887
0.014547785744071 0.906276603229344 0.835121687268838 0.895583209116012 0.79456959455274 0.152440107660368
0.0238939789123833 0.0606706126127392 0.00640948093496263 0.950928748818114 0.947993978625163 0.0944606240373105
0.915960435755551 0.0735482717864215 0.906681307125837 0.0267866875510663 0.320567555725574 0.821152487769723
0.0363494390621781 0.0843762003351003 0.954743573674932 0.41146524483338 0.119068041676655 0.854652742855251
0.934424275066704 0.889408242190257 0.979902619263157 0.0501251060049981 0.0074893138371408 0.764547863043845
0.439919291296974 0.699394012335688 0.976068385876715 0.0172227111179382 0.590791353490204 0.967088469769806
0.917847854783759 0.500236752908677 0.954559859121218 0.823572593508288 0.16182949882932 0.889499134616926
0.981563911540434 0.882374968845397 0.378768261522055 0.913577544735745 0.0559330529067665 0.118982864776626
0.0269090798683465 0.0464145289734006 0.0192589969374239 0.0454929473344237 0.9436997291632 0.316924744052812
0.0899186583701521 0.0594323938712478 0.0108708136249334 0.289382882649079 0.0928335837088525 0.172944302670658
0.415275897830725 0.0216660038568079 0.193881125422195 0.0189153815153986 0.141779127996415 0.947099861921743
0.272685565520078 0.0731877610087395 0.980912938946858 0.973080876050517 0.982712310506031 0.54247488733381
0.154016274260357 0.10501098469831 0.588643788825721 0.158100809436291 0.769568488933146 0.982222186867148
0.930507090175524 0.0234067416749895 0.455727428430691 0.982612542342395 0.0854587925132364 0.450308809289709
0.472056597471237 0.0396903634537011 0.910309066064656 0.0713782422244549 0.997887197416276 0.377122740959749
0.0774949328042567 0.89036681689322 0.109670606907457 0.114828071091324 0.448774130083621 0.814022073987871
0.897221702616662 0.0563764935359359 0.883343235123903 0.189083866076544 0.181635465240106 0.00161867821589112
0.143323672469705 0.871495221043006 0.178961675381288 0.730262334691361 0.0353346068877727 0.0275822095572948
0.0407621092163026 0.222672470845282 0.996069103712216 0.550272097112611 0.332909424090758 0.0243437748868018
0.305247974582016 0.951257883803919 0.092681189533323 0.808747973293066 0.815397124737501 0.164947198703885
